amount,failed_attempts,new_device,account_age_days,international,risk_percent,risk_level,action
10199,6,1,137,1,33.0,MEDIUM,VERIFY CUSTOMER
72140,9,0,683,1,75.0,HIGH,MANUAL REVIEW
35978,6,1,995,1,53.0,MEDIUM,VERIFY CUSTOMER
68303,6,1,972,1,77.0,HIGH,MANUAL REVIEW
58917,4,1,207,0,2.0,LOW,APPROVE
48434,2,0,813,0,0.0,LOW,APPROVE
67111,4,0,425,1,9.0,LOW,APPROVE
72051,2,0,48,1,6.0,LOW,APPROVE
37329,2,1,228,1,4.0,LOW,APPROVE
67725,4,1,740,0,1.0,LOW,APPROVE
44709,2,1,944,0,0.0,LOW,APPROVE
97261,2,0,234,1,19.0,LOW,APPROVE
12964,5,0,681,1,12.0,LOW,APPROVE
31113,9,0,373,1,26.0,LOW,APPROVE
24775,2,1,692,1,1.0,LOW,APPROVE
62238,6,1,33,1,94.0,HIGH,MANUAL REVIEW
22652,2,1,711,1,0.0,LOW,APPROVE
35870,6,0,965,0,14.0,LOW,APPROVE
17075,4,0,886,0,1.0,LOW,APPROVE
87334,9,0,687,1,87.0,HIGH,MANUAL REVIEW
54750,4,1,400,1,34.0,MEDIUM,VERIFY CUSTOMER
17563,5,1,735,1,42.0,MEDIUM,VERIFY CUSTOMER
10690,5,1,744,0,41.0,MEDIUM,VERIFY CUSTOMER
74582,8,0,198,1,82.0,HIGH,MANUAL REVIEW
30744,3,1,908,1,2.0,LOW,APPROVE
59710,2,0,663,1,5.0,LOW,APPROVE
41670,0,0,687,1,0.0,LOW,APPROVE
77820,7,1,969,0,85.0,HIGH,MANUAL REVIEW
33210,2,1,388,1,0.0,LOW,APPROVE
60994,3,1,971,0,13.0,LOW,APPROVE
19495,5,0,828,0,6.0,LOW,APPROVE
33150,9,0,775,0,1.0,LOW,APPROVE
44859,5,0,659,1,51.0,MEDIUM,VERIFY CUSTOMER
66835,3,1,336,1,12.0,LOW,APPROVE
34999,9,1,733,0,62.0,MEDIUM,VERIFY CUSTOMER
62227,8,1,680,0,93.0,HIGH,MANUAL REVIEW
48053,6,1,232,0,26.0,LOW,APPROVE
30552,0,1,48,0,0.0,LOW,APPROVE
91805,6,0,106,1,94.0,HIGH,MANUAL REVIEW
25666,6,1,658,1,64.0,MEDIUM,VERIFY CUSTOMER
6883,9,1,846,0,7.0,LOW,APPROVE
65322,0,1,462,0,1.0,LOW,APPROVE
11509,2,1,974,0,1.0,LOW,APPROVE
90759,4,1,427,0,3.0,LOW,APPROVE
99954,5,0,894,0,65.0,MEDIUM,VERIFY CUSTOMER
58855,6,0,698,0,25.0,LOW,APPROVE
55178,3,0,440,1,1.0,LOW,APPROVE
61299,6,0,492,1,51.0,MEDIUM,VERIFY CUSTOMER
1477,2,1,872,0,0.0,LOW,APPROVE
57146,6,1,439,1,98.0,HIGH,MANUAL REVIEW
10699,2,1,202,0,0.0,LOW,APPROVE
41374,8,0,42,1,29.0,LOW,APPROVE
73269,1,0,546,1,34.0,MEDIUM,VERIFY CUSTOMER
7077,0,1,39,1,1.0,LOW,APPROVE
4076,6,1,211,1,47.0,MEDIUM,VERIFY CUSTOMER
92128,9,0,517,1,95.0,HIGH,MANUAL REVIEW
29468,1,1,692,0,0.0,LOW,APPROVE
81040,1,0,919,1,1.0,LOW,APPROVE
81824,3,1,244,0,15.0,LOW,APPROVE
75077,8,1,874,1,91.0,HIGH,MANUAL REVIEW
12820,2,1,933,1,35.0,MEDIUM,VERIFY CUSTOMER
