amount,failed_attempts,new_device,account_age_days,international,is_fraud
15895,2,0,1,0,0
960,2,0,761,0,0
76920,1,1,261,1,0
54986,8,0,63,0,0
6365,2,0,483,1,0
82486,4,1,676,1,1
37294,8,1,321,0,1
87598,7,0,846,0,1
44231,1,1,201,1,0
60363,2,0,222,1,0
16123,1,1,152,0,0
41190,7,1,644,1,1
67321,5,1,626,1,1
64920,5,0,462,1,1
869,8,0,217,0,0
59835,7,0,196,1,1
63055,3,1,793,1,0
65025,3,1,202,1,0
68069,8,1,995,1,1
5411,0,1,647,0,0
83204,1,0,234,0,0
53807,1,0,141,1,0
85405,5,0,708,1,1
28793,3,1,498,1,0
72032,9,1,555,0,1
93116,2,0,57,0,0
25758,2,1,932,1,0
84578,2,0,504,1,0
18531,5,1,142,0,0
2847,7,1,722,1,0
59250,6,0,584,1,0
65825,3,0,736,0,0
84754,3,1,539,0,0
35873,9,0,640,0,0
67535,1,0,106,0,0
56986,0,1,165,0,0
66903,8,1,215,1,1
31651,1,1,71,0,0
11494,7,0,716,0,0
69192,8,1,665,0,0
3990,3,1,579,0,0
41706,7,1,90,0,0
96376,8,1,772,0,1
80138,9,1,874,1,1
87413,9,0,228,0,0
10727,4,1,79,1,0
8892,6,1,608,1,0
74069,9,0,349,0,1
43101,3,1,842,0,0
76652,0,1,981,1,0
23997,2,0,894,1,0
68248,4,1,246,1,0
23583,2,0,272,0,0
48655,6,1,403,1,1
17259,8,0,669,0,0
80177,5,0,116,0,0
36020,9,1,435,1,1
92167,0,0,530,0,0
67221,6,0,442,0,1
69579,2,1,172,1,0
89575,4,1,16,1,1
19557,9,0,961,0,1
66657,3,1,752,1,0
77289,9,0,898,0,0
79053,4,0,56,1,0
53095,4,1,591,1,0
40857,5,1,103,1,0
9792,9,0,284,1,0
45858,9,1,705,0,1
72509,5,1,517,1,1
71311,7,0,618,0,0
65797,7,0,278,0,0
37165,8,0,885,1,0
92193,7,0,612,1,1
99399,1,0,750,1,0
32706,9,0,269,1,1
11634,0,1,833,1,0
94763,9,0,400,0,0
40497,1,1,503,1,0
91487,1,1,86,0,0
1116,2,0,320,0,0
89889,9,1,32,0,0
55691,6,0,336,0,1
89912,1,1,51,1,0
23347,0,0,79,1,0
24400,5,0,698,0,0
74165,8,0,174,0,1
82898,2,0,948,1,0
9368,5,1,618,0,0
86907,2,1,501,1,0
12285,0,1,575,0,0
63804,4,1,76,1,1
86879,9,1,316,0,1
39199,3,0,833,0,0
8671,6,0,373,0,0
38144,5,0,81,1,0
51314,9,0,873,1,1
61328,6,0,640,1,0
49084,4,1,695,0,0
40874,3,0,755,0,0
2668,6,0,697,0,0
62692,6,1,732,0,0
67663,5,1,71,0,0
2795,7,0,969,0,0
48290,3,0,854,1,0
5358,9,1,666,1,1
87638,4,0,757,1,0
39604,3,0,652,0,0
33259,0,0,71,1,0
14086,7,1,46,0,1
61958,0,0,47,0,0
12766,4,0,591,1,0
38760,5,1,422,0,1
3661,5,1,149,0,0
26954,4,1,910,0,0
64605,2,0,130,0,0
52351,4,1,456,0,0
22762,7,0,639,1,0
8492,1,1,877,1,0
30635,5,0,631,0,0
78703,8,1,966,0,0
52356,7,0,997,1,1
89235,7,0,869,1,1
35322,7,1,505,1,0
77473,6,1,929,0,1
79675,7,0,774,1,0
96454,5,1,244,1,1
84751,1,0,474,0,0
63435,1,1,382,0,0
11065,7,1,103,1,0
24638,0,0,489,0,0
70692,5,1,37,1,1
98118,5,1,654,1,1
8210,3,0,549,0,0
79409,9,0,520,0,1
27366,2,1,743,1,0
53092,2,0,333,0,0
83048,0,1,397,0,0
98906,2,1,296,0,0
7010,3,0,107,0,0
91082,4,0,860,0,0
306,2,0,954,0,0
87154,5,0,530,0,0
87997,4,0,825,1,0
23519,2,0,83,0,0
50736,5,1,934,1,1
50115,5,1,288,0,1
54368,7,0,982,1,0
88039,1,1,706,0,0
18241,0,1,461,1,0
80456,3,1,215,0,0
72010,6,1,281,1,1
56144,9,0,732,0,1
67314,2,1,954,0,0
33927,2,1,459,1,0
55920,4,0,801,1,0
62723,4,0,344,0,0
81834,9,0,194,1,1
75550,2,0,158,1,0
93526,8,1,465,0,1
22399,3,0,104,1,0
43685,2,1,34,0,0
64144,1,1,102,1,1
42657,9,0,639,0,0
49180,8,0,726,1,0
2793,3,0,325,0,0
95103,2,0,944,0,0
95359,6,0,808,1,1
69263,7,0,691,1,1
26039,1,1,592,0,0
49025,6,1,141,0,0
43041,4,1,474,1,0
21934,4,1,31,1,0
18147,2,0,884,1,0
26205,4,0,935,1,0
75866,1,1,63,1,0
15807,3,1,560,1,0
22076,5,1,87,0,0
44362,0,0,304,1,0
23876,9,0,61,1,0
30180,3,0,396,1,0
66942,5,1,334,1,1
61473,8,1,952,0,1
6876,1,0,786,0,0
92887,6,0,411,0,1
55116,5,1,284,0,0
9574,1,1,466,1,0
58153,7,0,80,0,0
22059,6,1,692,1,0
5630,4,0,784,1,0
94956,4,0,77,0,0
3848,6,1,954,0,0
97604,8,1,733,1,1
98198,8,1,905,0,0
13645,8,0,794,0,0
66299,5,1,540,1,1
34866,9,1,361,1,1
73630,5,0,77,1,0
93657,2,0,509,1,0
61187,0,1,164,1,0
95939,6,0,9,0,1
68940,3,0,175,1,0
54484,0,0,462,1,0
51105,7,1,307,1,1
46676,5,1,588,0,1
39453,5,0,245,1,0
62103,1,0,122,1,1
83311,0,0,185,0,0
52833,1,1,32,1,0
65418,3,0,998,1,0
89574,1,0,963,1,0
23764,0,1,762,0,0
67272,6,0,569,0,1
85716,7,1,310,1,1
93364,5,1,372,1,1
26836,3,1,656,1,0
94309,5,0,830,0,1
954,2,0,596,0,0
90184,7,1,992,0,0
38723,9,0,56,0,0
7492,1,1,791,0,0
55780,4,0,273,0,0
46817,0,1,464,1,0
87192,5,1,678,0,1
50959,1,0,456,1,0
26409,3,0,979,0,0
87555,5,0,670,1,0
63834,9,0,249,0,0
70567,7,1,698,1,1
52762,7,1,994,1,1
98606,5,0,78,1,1
12788,3,0,534,0,0
25442,7,1,108,0,0
37257,7,0,273,0,0
67963,9,0,764,1,1
52183,0,0,15,1,0
65833,3,0,370,1,0
89145,3,1,304,0,0
34798,6,1,672,0,0
80723,6,0,205,1,1
22771,7,1,981,0,0
25284,4,0,113,0,0
93484,6,0,680,0,0
42207,7,0,865,0,1
86302,8,1,253,1,0
51763,2,1,441,0,0
15808,2,1,186,0,0
92006,3,1,859,1,0
49911,4,1,227,1,0
2911,9,0,528,0,0
56350,0,0,668,0,0
72182,6,1,354,0,1
34854,8,1,623,0,0
95842,7,1,1,1,1
11511,4,0,553,1,0
3011,3,1,560,1,0
67370,6,0,927,0,1
83863,4,0,420,0,0
8780,6,1,620,1,1
84996,0,0,161,0,0
83979,0,0,161,1,0
71395,9,1,871,1,1
88714,2,0,128,1,0
11211,1,1,722,1,0
37604,1,0,151,1,0
1902,6,1,444,1,1
8255,9,1,767,1,1
73756,1,0,471,0,0
39484,3,1,463,1,0
47354,1,0,730,1,0
22018,5,0,30,0,0
86081,7,1,473,1,1
60813,9,0,557,0,1
30406,3,1,80,1,0
16746,4,0,39,0,0
46943,3,0,240,0,0
96701,2,1,557,0,0
90835,4,0,590,1,0
16471,8,0,337,0,0
77471,7,0,908,1,0
2149,7,0,861,1,1
31716,7,0,800,1,0
21032,7,0,952,1,0
29955,6,0,280,1,0
61534,7,0,116,1,1
72794,7,1,269,1,1
43116,7,0,916,0,0
7500,9,0,335,1,0
42742,6,1,312,1,1
15251,0,1,53,0,0
51507,3,1,68,1,0
66790,3,0,694,0,0
4599,4,1,34,0,0
6395,9,1,796,1,0
59140,5,0,818,1,1
12283,3,0,386,0,0
29399,1,1,249,1,0
12974,5,1,111,0,0
32811,7,0,94,0,0
5639,7,0,410,1,0
53451,6,0,179,0,0
61367,5,0,47,1,0
48454,1,0,794,1,0
2657,6,1,852,0,1
38460,4,0,874,0,0
82118,5,0,604,1,1
2300,9,0,376,1,0
68597,7,0,724,1,1
47075,7,0,587,0,0
21457,2,1,890,1,0
77605,6,0,202,0,0
2969,0,1,445,0,0
61235,0,0,919,0,0
50208,6,1,933,1,1
94279,9,1,297,0,1
90372,8,0,308,1,1
38567,6,0,723,0,1
23428,9,0,493,1,1
91512,4,0,338,1,0
86931,7,0,945,0,1
4087,1,1,923,1,1
58971,8,0,646,0,0
22499,5,0,842,0,0
46314,8,1,66,0,0
99622,1,0,792,0,0
86516,2,1,422,0,0
70371,7,0,540,0,0
44164,0,1,924,0,0
70191,9,0,629,1,0
40918,6,1,493,0,1
45625,6,1,882,0,0
19930,0,0,999,1,0
17529,8,0,962,1,0
6993,7,0,317,0,1
80009,3,1,942,0,1
47433,9,1,837,0,0
3536,4,1,626,1,0
74390,1,0,75,0,0
76313,8,0,714,1,1
5995,5,1,939,0,0
19838,2,0,59,0,0
30846,6,1,386,1,1
49477,8,0,15,0,0
48504,2,0,231,0,0
54145,1,1,617,0,0
97988,6,0,677,1,1
39890,6,0,199,0,0
5700,3,0,916,0,0
94760,8,0,354,1,0
93279,7,0,35,1,1
40864,0,1,162,0,0
74643,0,0,757,0,0
45814,4,1,982,1,0
56935,5,0,799,0,0
73844,2,0,895,0,0
56591,8,1,471,1,1
18689,9,1,531,0,1
43584,5,0,964,0,0
83089,3,0,792,1,1
36312,6,1,852,0,0
43625,7,1,423,0,0
47302,8,1,348,0,0
32735,5,1,694,1,1
63308,5,0,935,0,1
33928,7,0,913,1,0
18811,4,0,147,1,0
3520,2,0,374,0,0
96852,2,0,688,1,0
401,5,1,675,0,0
45336,1,1,416,0,0
66335,5,1,687,0,1
54340,5,0,494,1,0
65826,7,1,559,0,1
10592,6,0,256,0,0
6202,7,0,960,0,0
50436,8,0,686,1,0
85414,5,1,103,1,1
26741,2,0,121,0,0
34684,9,0,419,0,0
32845,2,1,350,0,0
23193,0,0,657,0,0
66205,4,1,42,1,0
51985,3,0,367,1,0
36731,8,1,29,1,1
73091,8,0,966,1,1
4114,4,0,892,1,0
11193,9,1,785,1,0
18170,3,0,977,1,0
35877,6,1,14,0,1
57058,5,0,920,0,0
82174,3,1,953,0,0
10829,9,0,818,0,0
99813,1,0,825,0,0
45117,0,0,485,0,0
66420,3,1,189,1,1
27851,3,1,872,0,0
78169,0,1,295,1,0
54848,5,1,183,0,1
5901,3,1,864,1,0
19290,0,0,548,1,0
49789,0,0,882,0,0
51093,0,0,37,0,0
29692,7,0,14,0,1
10747,9,0,923,0,0
8816,7,1,635,0,0
88991,1,0,595,1,0
87645,6,1,159,0,1
90012,7,0,494,1,0
70416,7,1,329,1,1
2468,9,1,614,1,1
77675,6,1,849,0,0
6755,4,0,83,0,0
70131,0,0,556,0,0
76529,8,0,580,0,1
91183,6,0,560,0,1
88022,1,1,569,0,1
55866,5,1,587,1,1
13503,1,1,22,0,0
32197,0,1,132,1,0
78757,6,0,465,1,0
11066,1,1,456,0,0
99257,1,0,302,0,0
93948,4,1,955,0,0
53021,4,1,930,0,0
49826,6,1,267,0,1
50400,0,0,799,0,0
22777,7,0,395,1,1
55709,2,1,120,1,0
96925,3,1,246,1,0
56761,8,1,568,1,1
31124,3,0,38,1,0
70413,9,0,245,1,0
53106,4,0,21,0,0
95385,6,1,110,0,0
15438,3,0,606,0,0
68127,0,1,394,1,1
92872,8,0,410,1,1
80235,3,1,987,1,0
19608,8,1,648,0,1
3151,5,0,743,0,0
48847,0,1,8,0,0
87242,2,1,444,1,0
87335,1,1,328,1,0
54121,8,0,887,1,1
66512,0,1,290,0,0
58435,8,0,763,1,1
56279,8,0,511,0,1
32193,7,1,912,0,0
69778,7,0,361,0,0
80838,0,1,909,0,1
39834,7,0,599,0,0
72715,9,1,716,0,0
73623,2,0,219,0,0
94576,6,1,406,1,0
17119,0,1,992,0,0
83713,0,1,753,1,0
91894,9,1,923,0,0
86772,4,0,832,0,0
73947,4,0,770,0,0
82850,7,1,621,1,1
79734,6,0,768,0,0
28351,7,1,993,0,0
26045,5,1,794,1,0
90952,5,0,220,1,1
32317,1,0,595,1,0
8408,5,1,107,1,0
6049,4,0,581,0,0
52090,2,1,609,0,0
1250,5,0,724,1,1
89580,7,0,286,0,1
74840,8,0,749,1,1
66717,0,0,8,1,1
94941,2,0,806,1,0
16996,2,1,189,0,0
46275,7,0,81,1,0
7905,0,0,108,0,0
5337,4,1,321,0,0
20156,2,1,579,0,0
45643,1,1,686,1,0
56656,7,0,346,0,0
3443,2,0,863,1,0
13600,6,1,328,0,0
53322,0,1,555,0,0
29475,5,1,699,0,1
9762,2,1,302,1,0
17064,7,0,200,1,0
59738,5,0,893,1,1
73766,1,0,419,1,0
85167,5,0,39,0,0
67315,6,0,732,0,1
69142,4,1,307,1,0
13384,2,0,4,1,0
72889,3,1,633,1,0
84764,3,1,848,1,0
93568,5,1,77,0,1
61489,9,0,468,1,1
9535,0,1,179,1,0
54440,3,0,645,0,0
44178,9,1,823,1,1
78932,3,0,741,0,0
51393,9,1,276,1,1
96081,0,0,152,0,0
78881,8,1,164,1,1
60503,3,1,290,1,0
29224,6,1,378,1,0
95535,2,1,621,1,0
44019,9,0,638,1,0
35347,2,0,752,0,0
94858,7,0,310,1,1
91847,7,1,930,0,1
62852,0,1,979,0,0
56673,9,1,913,0,0
59201,1,1,389,0,0
26746,7,1,857,1,1
23149,0,1,658,1,0
79705,7,0,764,1,1
98216,7,0,183,1,1
97479,1,0,821,0,0
68485,3,0,306,0,0
40258,5,0,72,0,0
65517,8,0,219,1,1
23389,7,0,719,1,0
9923,7,0,173,1,0
60260,6,1,653,1,1
42075,8,1,272,0,0
9640,1,1,726,1,0
16464,2,1,468,1,0
4711,9,1,269,0,1
27763,7,1,20,0,0
52091,5,1,578,1,1
57779,9,0,995,1,1
31077,8,0,815,0,0
94804,9,1,503,1,1
49215,3,0,147,0,0
91107,7,0,429,0,1
88323,9,0,165,1,1
60990,2,0,890,0,0
66487,2,0,310,1,1
18171,7,1,518,1,0
59375,4,0,14,1,0
72469,2,1,132,1,0
12038,9,1,854,0,0
35295,0,1,755,1,0
91780,2,0,439,1,0
4100,8,1,743,0,0
70688,4,1,740,1,0
93710,9,1,674,1,1
97956,1,1,795,1,0
38404,6,0,263,1,0
69549,1,1,643,0,0
83086,3,1,943,0,0
89743,6,1,225,1,1
20864,3,1,258,0,0
86127,6,0,234,0,0
38594,6,1,336,0,1
3473,0,1,409,0,0
12261,5,1,828,1,0
97632,8,1,975,0,1
92758,1,1,24,1,0
27450,2,1,271,1,1
93108,9,0,95,0,1
94397,4,1,142,1,0
25451,8,0,694,0,0
88768,3,0,718,1,0
15405,0,1,902,1,0
75453,3,0,974,0,0
76897,5,1,81,1,1
66053,4,0,274,0,0
57558,0,1,276,1,0
20458,3,0,883,1,0
3367,5,0,958,0,0
82845,9,1,465,0,1
89688,9,0,208,0,1
